Country/Region,Cases,Deaths,Region,Income,Short Name,Country_Region,Population,Vaccine_doses
Afghanistan,103902,4215,South Asia,Low income,Afghanistan,Afghanistan,38928341,662003
Albania,132490,2454,Europe & Central Asia,Upper middle income,Albania,Albania,2877800,890052
Algeria,136294,3641,Middle East & North Africa,Lower middle income,Algeria,Algeria,43851043,2500000
Andorra,13864,127,Europe & Central Asia,High income,Andorra,Andorra,77265,51114
Angola,37748,868,Sub-Saharan Africa,Lower middle income,Angola,Angola,32866268,1380174
Antigua and Barbuda,1263,42,Latin America & Caribbean,High income,Antigua and Barbuda,Antigua and Barbuda,97928,62204
Argentina,4277395,89490,Latin America & Caribbean,Upper middle income,Argentina,Argentina,45195777,18198899
Armenia,224253,4499,Europe & Central Asia,Upper middle income,Armenia,Armenia,"2,968,127",55557
Australia,30366,910,East Asia & Pacific,High income,Australia,Australia,25459700,6590741
Austria,649670,10680,Europe & Central Asia,High income,Austria,Austria,9006400,6910539
Azerbaijan,335521,4963,Europe & Central Asia,Upper middle income,Azerbaijan,Azerbaijan,10139175,2989673
Bahamas,12364,243,Latin America & Caribbean,High income,Bahamas,Bahamas,393248,79246
Bahrain,263295,1311,Middle East & North Africa,High income,Bahrain,Bahrain,1701583,1955753
Bangladesh,856304,13626,South Asia,Lower middle income,Bangladesh,Bangladesh,164689383,10086979
Barbados,4045,47,Latin America & Caribbean,High income,Barbados,Barbados,287371,157283
Belarus,411153,3053,Europe & Central Asia,Upper middle income,Belarus,Belarus,9449321,1068413
Belgium,1079640,25141,Europe & Central Asia,High income,Belgium,Belgium,11589616,9748714
Belize,13039,329,Latin America & Caribbean,Upper middle income,Belize,Belize,397621,97404
Bhutan,1939,1,South Asia,Lower middle income,Bhutan,Bhutan,"779,898",484189
Bolivia,422811,16174,Latin America & Caribbean,Lower middle income,Bolivia,Bolivia,11673029,2231841
Bosnia and Herzegovina,204860,9643,Europe & Central Asia,Upper middle income,Bosnia and Herzegovina,Bosnia and Herzegovina,"3,258,629",315780
Botswana,65808,1069,Sub-Saharan Africa,Upper middle income,Botswana,Botswana,"2,403,125",153100
Brazil,17966831,502586,Latin America & Caribbean,Upper middle income,Brazil,Brazil,212559409,82651809
Brunei,255,3,East Asia & Pacific,High income,Brunei,Brunei,"441,532",66972
Bulgaria,421152,18000,Europe & Central Asia,Upper middle income,Bulgaria,Bulgaria,6948445,1668677
Burkina Faso,13469,167,Sub-Saharan Africa,Low income,Burkina Faso,Burma,54409794,2994900
Cambodia,43446,441,East Asia & Pacific,Lower middle income,Cambodia,Cambodia,16718971,6171269
Cameroon,80328,1313,Sub-Saharan Africa,Lower middle income,Cameroon,Cameroon,"27,261,747",100991
Canada,1417236,26103,North America,High income,Canada,Canada,37855702,32586269
Chile,1522223,31645,Latin America & Caribbean,High income,Chile,Chile,19116209,21385816
China,103571,4846,East Asia & Pacific,Upper middle income,China,China,1404676330,1049744000
Colombia,3968405,100582,Latin America & Caribbean,Upper middle income,Colombia,Colombia,50882884,14953869
Costa Rica,354095,4530,Latin America & Caribbean,Upper middle income,Costa Rica,Costa Rica,5094114,2150520
Cote d'Ivoire,48047,308,Sub-Saharan Africa,Lower middle income,Côte d'Ivoire,Cote d'Ivoire,26378275,725916
Croatia,359184,8182,Europe & Central Asia,High income,Croatia,Croatia,4105268,2359472
Cyprus,73710,374,Europe & Central Asia,High income,Cyprus,Cyprus,1207361,753106
Czech Republic,1666082,30280,Europe & Central Asia,High income,Czech Republic,Czech Republic,10708982,6897135
Denmark,292618,2532,Europe & Central Asia,High income,Denmark,Denmark,5792203,4419519
Dominica,191,0,Latin America & Caribbean,Upper middle income,Dominica,Dominica,71991,38646
Dominican Republic,317645,3758,Latin America & Caribbean,Upper middle income,Dominican Republic,Dominican Republic,10847904,7012445
Ecuador,446633,21304,Latin America & Caribbean,Upper middle income,Ecuador,Ecuador,17643060,3580667
Egypt,277797,15898,Middle East & North Africa,Lower middle income,Egypt,Egypt,102334403,4010467
El Salvador,77484,2336,Latin America & Caribbean,Lower middle income,El Salvador,El Salvador,6486201,2506257
Equatorial Guinea,8708,120,Sub-Saharan Africa,Upper middle income,Equatorial Guinea,Equatorial Guinea,1402985,257146
Estonia,130818,1268,Europe & Central Asia,High income,Estonia,Estonia,1326539,908498
Eswatini,18831,677,Sub-Saharan Africa,Lower middle income,Eswatini,Eswatini,"1,172,362",35227
Ethiopia,275318,4286,Sub-Saharan Africa,Low income,Ethiopia,Ethiopia,"117,876,227",1975957
Fiji,2090,7,East Asia & Pacific,Upper middle income,Fiji,Fiji,"902,906",274008
Finland,94379,967,Europe & Central Asia,High income,Finland,Finland,5540718,3929061
France,5692968,109878,Europe & Central Asia,High income,France,France,65273512,48390460
Gabon,24864,158,Sub-Saharan Africa,Upper middle income,Gabon,Gabon,"2,278,825",41737
Gambia,6045,181,Sub-Saharan Africa,Low income,Gambia,Gambia,2416664,40810
Georgia,359141,5175,Europe & Central Asia,Upper middle income,Georgia,Georgia,"3,979,765",316599
Germany,3730619,90477,Europe & Central Asia,High income,Germany,Germany,83783945,67116671
Ghana,95059,794,Sub-Saharan Africa,Lower middle income,Ghana,Ghana,31072945,1232876
Greece,418548,12559,Europe & Central Asia,High income,Greece,Greece,10423056,7510968
Grenada,161,1,Latin America & Caribbean,Upper middle income,Grenada,Grenada,112519,29157
Guatemala,280854,8735,Latin America & Caribbean,Upper middle income,Guatemala,Guatemala,17915567,813278
Guinea,23535,168,Sub-Saharan Africa,Low income,Guinea,Guinea,13132792,467027
Guyana,19144,449,Latin America & Caribbean,Upper middle income,Guyana,Guyana,786559,319096
Honduras,254194,6772,Latin America & Caribbean,Lower middle income,Honduras,Honduras,9904608,541792
Hungary,807630,29959,Europe & Central Asia,High income,Hungary,Hungary,9660350,9496972
Iceland,6555,29,Europe & Central Asia,High income,Iceland,Iceland,341250,395596
India,29977861,389302,South Asia,Lower middle income,India,India,1380004385,288766201
Indonesia,2004445,54956,East Asia & Pacific,Upper middle income,Indonesia,Indonesia,273523621,35928647
Iran,3105620,83101,Middle East & North Africa,Upper middle income,Iran,Iran,83992953,4792881
Iraq,1292700,16910,Middle East & North Africa,Upper middle income,Iraq,Iraq,"41,179,350",805363
Ireland,269321,4979,Europe & Central Asia,High income,Ireland,Ireland,4937796,3218310
Israel,839990,6427,Middle East & North Africa,High income,Israel,Israel,8655541,10651894
Italy,4253460,127291,Europe & Central Asia,High income,Italy,Italy,60461828,46601425
Jamaica,49712,1034,Latin America & Caribbean,Upper middle income,Jamaica,Jamaica,2961161,194315
Japan,786566,14408,East Asia & Pacific,High income,Japan,Japan,126476458,32922292
Jordan,747000,9671,Middle East & North Africa,Upper middle income,Jordan,Jordan,10203140,3099657
Kazakhstan,467069,3511,Europe & Central Asia,Upper middle income,Kazakhstan,Kazakhstan,18776707,4428255
Kenya,179293,3461,Sub-Saharan Africa,Lower middle income,Kenya,Kenya,53771300,1187663
Kosovo,107247,2256,Europe & Central Asia,Upper middle income,Kosovo,Kosovo,1930000,133868
Kuwait,340967,1877,Middle East & North Africa,High income,Kuwait,Kuwait,4270563,3100000
Kyrgyzstan,115615,1937,Europe & Central Asia,Lower middle income,Kyrgyz Republic,Kyrgyzstan,"6,628,356",135578
Laos,2054,3,East Asia & Pacific,Lower middle income,Laos,Laos,7275556,1208878
Latvia,136850,2496,Europe & Central Asia,High income,Latvia,Latvia,1886202,1081386
Lebanon,543551,7825,Middle East & North Africa,Upper middle income,Lebanon,Lebanon,6825442,1142266
Liechtenstein,3028,59,Europe & Central Asia,High income,Liechtenstein,Liechtenstein,38137,28606
Lithuania,278407,4367,Europe & Central Asia,High income,Lithuania,Lithuania,2722291,2107448
Luxembourg,70535,818,Europe & Central Asia,High income,Luxembourg,Luxembourg,625976,483523
Malawi,34914,1171,Sub-Saharan Africa,Low income,Malawi,Malawi,19129955,489080
Malaysia,701019,4477,East Asia & Pacific,Upper middle income,Malaysia,Malaysia,32365998,6051198
Maldives,72149,206,South Asia,Upper middle income,Maldives,Maldives,540542,497871
Mali,14385,524,Sub-Saharan Africa,Low income,Mali,Mali,"20,855,735",176038
Malta,30590,420,Middle East & North Africa,High income,Malta,Malta,441539,628735
Marshall Islands,4,0,East Asia & Pacific,Upper middle income,Marshall Islands,Marshall Islands,"59,624",32470
Mauritania,20365,481,Sub-Saharan Africa,Lower middle income,Mauritania,Mauritania,"4,781,687",136003
Mauritius,1701,18,Sub-Saharan Africa,High income,Mauritius,Mauritius,1271767,598863
Mexico,2478551,231244,Latin America & Caribbean,Upper middle income,Mexico,Mexico,127792286,40227974
Micronesia,1,0,East Asia & Pacific,Lower middle income,Micronesia,Micronesia,"554,806",48425
Moldova,256187,6173,Europe & Central Asia,Lower middle income,Moldova,Moldova,4033963,631346
Monaco,2549,33,Europe & Central Asia,High income,Monaco,Monaco,39244,33965
Mongolia,98050,459,East Asia & Pacific,Lower middle income,Mongolia,Mongolia,3278292,3627620
Montenegro,100092,1605,Europe & Central Asia,Upper middle income,Montenegro,Montenegro,628062,276374
Morocco,526737,9244,Middle East & North Africa,Lower middle income,Morocco,Morocco,36910558,17763775
Mozambique,72577,848,Sub-Saharan Africa,Low income,Mozambique,Mozambique,31255435,394930
Namibia,75766,1179,Sub-Saharan Africa,Upper middle income,Namibia,Namibia,2540916,124460
Nepal,622640,8772,South Asia,Lower middle income,Nepal,Nepal,29136808,3231849
Netherlands,1679542,17727,Europe & Central Asia,High income,Netherlands,Netherlands,17134873,13875172
New Zealand,2720,26,East Asia & Pacific,High income,New Zealand,New Zealand,4822233,891702
Nicaragua,7696,188,Latin America & Caribbean,Lower middle income,Nicaragua,Nicaragua,"6,702,385",167500
Nigeria,167292,2118,Sub-Saharan Africa,Lower middle income,Nigeria,Nigeria,206139587,2909674
North Macedonia,155627,5477,Europe & Central Asia,Upper middle income,North Macedonia,North Macedonia,2083380,473853
Oman,250572,2741,Middle East & North Africa,High income,Oman,Oman,5106622,720199
Pakistan,949838,22034,South Asia,Lower middle income,Pakistan,Pakistan,220892331,12977746
Palau,0,0,East Asia & Pacific,High income,Palau,Palau,"18,169",24601
Panama,394241,6477,Latin America & Caribbean,High income,Panama,Panama,4314768,1441439
Papua New Guinea,17013,173,East Asia & Pacific,Lower middle income,Papua New Guinea,Papua New Guinea,"9,130,894",38176
Paraguay,407721,11743,Latin America & Caribbean,Upper middle income,Paraguay,Paraguay,7132530,662804
Peru,2030611,190645,Latin America & Caribbean,Upper middle income,Peru,Peru,32971846,6406162
Philippines,1364239,23749,East Asia & Pacific,Lower middle income,Philippines,Philippines,109581085,8407342
Poland,2878840,74829,Europe & Central Asia,High income,Poland,Poland,37846605,26665528
Portugal,865806,17068,Europe & Central Asia,High income,Portugal,Portugal,10196707,7680120
Qatar,220930,583,Middle East & North Africa,High income,Qatar,Qatar,2881060,2898814
Romania,1080282,32391,Europe & Central Asia,High income,Romania,Romania,19237682,8753264
Russia,5272328,127641,Europe & Central Asia,Upper middle income,Russia,Russia,145934460,35433632
Rwanda,31435,388,Sub-Saharan Africa,Low income,Rwanda,Rwanda,12952209,578569
San Marino,5090,90,Europe & Central Asia,High income,San Marino,San Marino,33938,44064
Saudi Arabia,475403,7691,Middle East & North Africa,High income,Saudi Arabia,Saudi Arabia,34813867,16751205
Senegal,42437,1158,Sub-Saharan Africa,Lower middle income,Senegal,Senegal,16743930,632648
Serbia,715841,7004,Europe & Central Asia,Upper middle income,Serbia,Serbia,8737370,5146241
Seychelles,14123,55,Sub-Saharan Africa,High income,Seychelles,Seychelles,98340,137676
Sierra Leone,4879,82,Sub-Saharan Africa,Low income,Sierra Leone,Sierra Leone,7976985,97315
Singapore,62430,35,East Asia & Pacific,High income,Singapore,Singapore,5850343,4691386
Slovakia,391326,12496,Europe & Central Asia,High income,Slovak Republic,Slovakia,5459643,3320553
Slovenia,257001,4415,Europe & Central Asia,High income,Slovenia,Slovenia,2078932,1400384
Solomon Islands,20,0,East Asia & Pacific,Lower middle income,Solomon Islands,Solomon Islands,"705,042",21469
South Africa,1832479,58795,Sub-Saharan Africa,Upper middle income,South Africa,South Africa,59308690,2144204
